times,energy_gauss_wide,energy_gauss_narrow,energy_step
0.0, 0.0, 0.0, 0.0
0.0395, 3.1519439169744406e-13, 2.1440114933026457e-39, 0.0
0.079, 2.8882484179575648e-11, 5.40864017613023e-39, 0.0
0.1185, 1.81550312756964e-10, 8.673268858957817e-39, 0.0
0.158, 5.480292796932095e-10, 8.424702023313027e-34, 0.0
0.1975, 1.2177187400776102e-09, 4.595394060006009e-33, 0.0
0.237, 2.2800180489994477e-09, 8.348317917680716e-33, 0.0
0.2765, 3.824326561548019e-09, 1.21012417753554e-32, 0.0
0.316, 5.940043632812601e-09, 1.5854165633030085e-32, 0.0
0.3555, 8.716568617882485e-09, 1.960708949070477e-32, 0.0
0.395, 1.2243300871846962e-08, 2.3360013348379476e-32, 0.0
0.4345, 1.660963974979531e-08, 2.711293720605416e-32, 0.0
0.474, 2.215048040409165e-08, 3.0865861063728867e-32, 0.0
0.5135, 2.9588490393671897e-08, 3.461878492140355e-32, 0.0
0.553, 3.9186776363652056e-08, 3.837170877907826e-32, 0.0
0.5925, 5.118892367865151e-08, 4.2124632636752954e-32, 0.0
0.632, 6.583851770328966e-08, 4.587755649442765e-32, 0.0
0.6715, 8.337914380218602e-08, 4.963048035210233e-32, 0.0
0.711, 1.0405438733995994e-07, 5.338340420977703e-32, 0.0
0.7505000000000001, 1.281078336812309e-07, 5.713632806745174e-32, 0.0
0.79, 1.557830681906183e-07, 6.088925192512643e-32, 0.0
0.8295, 1.873236762327415e-07, 6.464217578280112e-32, 0.0
0.869, 2.2333429761116609e-07, 6.839509964047581e-32, 0.0
0.9085, 2.653546723718472e-07, 7.214802349815051e-32, 0.0
0.948, 3.1401322134634465e-07, 7.590094735582519e-32, 0.0
0.9875, 3.698572760298639e-07, 7.96538712134999e-32, 0.0
1.027, 4.3343416791761034e-07, 8.340679507117458e-32, 0.0
1.0665, 5.0529122850479e-07, 8.715971892884929e-32, 0.0
1.106, 5.859757892866093e-07, 9.0912642786524e-32, 0.0
1.1455, 6.760351817582726e-07, 9.466556664419866e-32, 0.0
1.185, 7.76016737414987e-07, 9.841849050187336e-32, 0.0
1.2245, 8.864677877519567e-07, 1.0217141435954805e-31, 0.0
1.264, 1.0079356642643896e-06, 1.0592433821722276e-31, 0.0
1.3035, 1.14096769844749e-06, 1.0967726207489746e-31, 0.0
1.343, 1.2861112217964632e-06, 1.1343018593257215e-31, 0.0
1.3825, 1.4439135658065166e-06, 1.1718310979024685e-31, 0.0
1.422, 1.614922061972854e-06, 1.2093603364792152e-31, 0.0
1.4615, 1.7996840417906834e-06, 1.2468895750559622e-31, 0.0
1.5010000000000001, 1.9987468367552096e-06, 1.2844188136327093e-31, 0.0
1.5405, 2.212657778361636e-06, 6.702227774916513e-30, 0.0
1.58, 2.4419641981051723e-06, 1.399071891841236e-29, 0.0
1.6195, 2.687387929685854e-06, 2.1279210061908208e-29, 0.0
1.659, 2.951996111121389e-06, 2.8567701205404415e-29, 0.0
1.6985000000000001, 3.2374285389533297e-06, 3.5856192348899904e-29, 0.0
1.738, 3.5445769034564246e-06, 4.314468349239575e-29, 0.0
1.7775, 3.874332894905421e-06, 5.043317463589196e-29, 0.0
1.817, 4.227588203575064e-06, 5.772166577938817e-29, 0.0
1.8565, 4.605234519740106e-06, 6.501015692288401e-29, 0.0
1.896, 5.00816353367529e-06, 7.229864806638022e-29, 0.0
1.9355, 5.437266935655364e-06, 7.958713920987571e-29, 0.0
1.975, 5.8934364159550795e-06, 8.687563035337156e-29, 0.0
2.0145, 6.377563664849175e-06, 9.416412149686776e-29, 0.0
2.054, 6.890540372612403e-06, 1.014526126403636e-28, 0.0
2.0935, 7.433258229519518e-06, 1.0874110378385982e-28, 0.0
2.133, 8.006608925845252e-06, 1.1602959492735567e-28, 0.0
2.1725, 8.611484151864363e-06, 1.2331808607085151e-28, 0.0
2.212, 9.248775597851594e-06, 1.3060657721434772e-28, 0.0
2.2515, 9.919374954081694e-06, 1.3789506835784357e-28, 0.0
2.291, 1.0624173910829407e-05, 1.4518355950133942e-28, 0.0
2.3305000000000002, 1.1364064158369493e-05, 1.5247205064483562e-28, 0.0
2.37, 1.213993738697668e-05, 1.5976054178833147e-28, 0.0
2.4095, 1.2954488157652832e-05, 1.6704903293182696e-28, 0.0
2.449, 1.38108640066514e-05, 1.7433752407532317e-28, 0.0
2.4885, 1.4710339355248883e-05, 1.8162601521881901e-28, 0.0
2.528, 1.5654187226545742e-05, 1.8891450636231522e-28, 0.0
2.5675, 1.6643680643642515e-05, 1.9620299750581107e-28, 0.0
2.607, 1.76800926296397e-05, 2.034914886493069e-28, 0.0
2.6465, 1.8764696207637804e-05, 2.1077997979280276e-28, 0.0
2.686, 1.9898764400737327e-05, 2.1806847093629897e-28, 0.0
2.7255, 2.1083570232038784e-05, 2.253569620797948e-28, 0.0
2.765, 2.2320386724642706e-05, 2.3264545322329067e-28, 0.0
2.8045, 2.361048690164957e-05, 2.3993394436678687e-28, 0.0
2.844, 2.4955143786159886e-05, 2.472224355102827e-28, 0.0
2.8835, 2.6355630401274182e-05, 2.5451092665377857e-28, 0.0
2.923, 2.781321977009294e-05, 2.6179941779727477e-28, 0.0
2.9625, 2.932918491571668e-05, 2.6908790894077062e-28, 0.0
3.0020000000000002, 3.090479886124593e-05, 2.7637640008426683e-28, 0.0
3.0415, 3.254133462978115e-05, 2.836648912277623e-28, 0.0
3.081, 3.4240065244422885e-05, 2.9095338237125817e-28, 0.0
3.1205, 3.600226372827163e-05, 2.98241873514754e-28, 0.0
3.16, 3.7829762399481776e-05, 3.055303646582502e-28, 0.0
3.1995, 3.972607998234461e-05, 3.1281885580174607e-28, 0.0
3.239, 4.169297895170463e-05, 3.2010734694524228e-28, 0.0
3.2785, 4.373202393297728e-05, 3.273958380887385e-28, 0.0
3.318, 4.584477955157799e-05, 3.3468432923223397e-28, 0.0
3.3575, 4.8032810432922225e-05, 3.4197282037573018e-28, 0.0
3.3970000000000002, 5.029768120242546e-05, 3.4926131151922603e-28, 0.0
3.4365, 5.264095648550312e-05, 3.5654980266272187e-28, 0.0
3.476, 5.506420090757067e-05, 3.638382938062177e-28, 0.0
3.5155, 5.756897909404356e-05, 3.7112678494971357e-28, 0.0
3.555, 6.015685567033728e-05, 3.7841527609320978e-28, 0.0
3.5945, 6.282939526186723e-05, 3.85703767236706e-28, 0.0
3.634, 6.558816249404887e-05, 3.9299225838020183e-28, 0.0
3.6735, 6.843472199229772e-05, 4.002807495236977e-28, 0.0
3.713, 7.137063838202915e-05, 4.075692406671939e-28, 0.0
3.7525, 7.439747628865866e-05, 4.148577318106894e-28, 0.0
3.792, 7.75168003376017e-05, 4.221462229541852e-28, 0.0
3.8315, 8.073017515427378e-05, 4.294347140976814e-28, 0.0
3.871, 8.40391653640902e-05, 4.367232052411773e-28, 0.0
3.9105, 8.744538220501715e-05, 4.440116963846731e-28, 0.0
3.95, 9.095129494901063e-05, 4.513001875281693e-28, 0.0
3.9895, 9.455891307710356e-05, 4.585886786716652e-28, 0.0
4.029, 9.826992873336806e-05, 4.65877169815161e-28, 0.0
4.0685, 0.00010208603406187631, 4.731656609586572e-28, 0.0
4.108, 0.00010600896052094205, 4.804541521021531e-28, 0.0
4.1475, 0.00011004076383872827, 4.877426432456493e-28, 0.0
4.187, 0.00011418335440896039, 4.950311343891451e-28, 0.0
4.2265, 0.00011843858550667666, 5.02319625532641e-28, 0.0
4.266, 0.00012280831040691577, 5.096081166761368e-28, 0.0
4.3055, 0.00012729434407390296, 5.16896607819633e-28, 0.0
4.345, 0.00013189834688875207, 5.241850989631285e-28, 0.0
4.3845, 0.00013662207553987384, 5.314735901066244e-28, 0.0
4.424, 0.00014146730171284266, 5.387620812501206e-28, 0.0
4.4635, 0.00014643579709323329, 5.460505723936164e-28, 0.0
4.503, 0.00015152935878787427, 5.533390635371126e-28, 0.0
4.5425, 0.0001567498312010684, 5.606275546806085e-28, 0.0
4.582, 0.00016209898817238778, 5.679160458241043e-28, 0.0
4.6215, 0.00016757860221356622, 5.752045369676005e-28, 0.0
4.6610000000000005, 0.00017319044809789442, 5.824930281110964e-28, 0.0
4.7005, 0.00017893629461081652, 5.897815192545922e-28, 0.0
4.74, 0.00018481790910977982, 5.970700103980884e-28, 0.0
4.7795, 0.0001908370546615828, 6.043585015415839e-28, 0.0
4.819, 0.00019699549099757305, 6.116469926850798e-28, 0.0
4.8585, 0.00020329497237842091, 6.18935483828576e-28, 0.0
4.898, 0.00020973724417869182, 6.262239749720718e-28, 0.0
4.9375, 0.00021632405212769896, 6.33512466115568e-28, 0.0
4.977, 0.00022305713338659252, 6.408009572590639e-28, 0.0
5.0165, 0.00022993822413599173, 6.480894484025601e-28, 0.0
5.056, 0.00023696904536248006, 6.553779395460563e-28, 0.0
5.0955, 0.00024415132088984455, 6.6266643068955215e-28, 0.0
5.135, 0.0002514867593458373, 6.699549218330476e-28, 0.0
5.1745, 0.0002589770628239283, 6.772434129765435e-28, 0.0
5.214, 0.00026662392613686757, 6.845319041200397e-28, 0.0
5.2535, 0.00027442903522510373, 6.918203952635355e-28, 0.0
5.293, 0.00028239406683755534, 6.991088864070314e-28, 0.0
5.3325000000000005, 0.00029052068811873013, 7.063973775505276e-28, 0.0
5.372, 0.000298810556189659, 7.136858686940234e-28, 0.0
5.4115, 0.00030726531781543194, 7.2097435983751965e-28, 0.0
5.451, 0.00031588660911208947, 7.282628509810155e-28, 0.0
5.4905, 0.0003246760544290548, 7.355513421245113e-28, 0.0
5.53, 0.000333635266722496, 7.4283983326800755e-28, 0.0
5.5695, 0.0003427658468679785, 7.50128324411503e-28, 0.0
